name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime,test_col
Get Crazy,R,Comedy,1983,"August 5, 1983 (United States)",6.7,1100.0,Allan Arkush,Danny Opatoshu,Malcolm McDowell,United States,5500000.0,1645711.0,D & P Productions,92.0,
Nate and Hayes,PG,Action,1983,"November 18, 1983 (United States)",6.2,2100.0,Ferdinand Fairfax,Lloyd Phillips,Tommy Lee Jones,New Zealand,12000000.0,1963756.0,Phillips Whitehouse Productions,99.0,
Strange Invaders,PG,Horror,1983,"September 16, 1983 (United States)",5.5,2700.0,Michael Laughlin,Bill Condon,Paul Le Mat,United States,,1362303.0,EMI Films,94.0,
The Black Stallion Returns,PG,Adventure,1983,"March 25, 1983 (United States)",6.0,2100.0,Robert Dalva,Walter Farley,Kelly Reno,United States,,12049514.0,Zoetrope Studios,103.0,
Metalstorm: the Destruction of Jared-Syn,PG,Action,1983,"August 19, 1983 (United States)",3.8,1600.0,Charles Band,Alan J. Adler,Jeffrey Byron,United States,,5301085.0,Albert Band International Productions Inc.,84.0,
Getting It on,R,Comedy,1983,August 1983 (United States),3.7,208.0,William Olsen,William Olsen,Martin Yost,United States,220000.0,975414.0,Seventh Avenue Films,96.0,
Lianna,R,Drama,1983,"September 8, 1983 (Netherlands)",6.8,1600.0,John Sayles,John Sayles,Linda Griffiths,United States,300000.0,1530839.0,Winwood Productions,110.0,
Better Late Than Never,PG,Comedy,1983,"April 15, 1983 (United States)",5.8,115.0,Bryan Forbes,Gwen Davis,David Niven,United Kingdom,,,Golden Harvest Company,89.0,
Lovesick,PG,Comedy,1983,"February 18, 1983 (United States)",5.2,747.0,Marshall Brickman,Marshall Brickman,Dudley Moore,United States,10100000.0,10171304.0,The Ladd Company,95.0,
Running Brave,PG,Biography,1983,"November 4, 1983 (United States)",6.7,659.0,Donald Shebib,Henry Bean,Robby Benson,Canada,8000000.0,3000000.0,Englander Productions,106.0,
Exposed,R,Drama,1983,"April 22, 1983 (United States)",5.1,786.0,James Toback,James Toback,Nastassja Kinski,United States,,1818910.0,United Artists,100.0,
Trenchcoat,PG,Comedy,1983,"March 11, 1983 (United States)",5.3,456.0,Michael Tuchner,Jeffrey Price,Margot Kidder,United States,5000000.0,4304286.0,Walt Disney Productions,91.0,
Stryker,R,Action,1983,"September 2, 1983 (United States)",4.3,617.0,Cirio H. Santiago,Howard R. Cohen,Steve Sandor,Philippines,,1723487.0,Cinema Vehicle Services,86.0,
The Man Who Wasn't There,R,Action,1983,"August 12, 1983 (United States)",3.8,513.0,Bruce Malmuth,Stanford Sherman,Steve Guttenberg,United States,,2443487.0,Paramount Pictures,111.0,
Table for Five,PG,Drama,1983,"March 10, 1983 (Australia)",6.1,681.0,Robert Lieberman,David Seltzer,Jon Voight,United States,,2439705.0,CBS Theatrical Films,122.0,
Romantic Comedy,PG,Comedy,1983,"October 7, 1983 (United States)",5.2,786.0,Arthur Hiller,Bernard Slade,Dudley Moore,United States,,6857733.0,Metrocolor,103.0,
Young Warriors,R,Action,1983,"August 28, 1983 (United States)",4.7,460.0,Lawrence David Foldes,Russell W. Colgin,Ernest Borgnine,United States,,,Star Cinema,105.0,
"Man, Woman and Child",PG,Drama,1983,"September 7, 1983 (France)",6.1,368.0,Dick Richards,Erich Segal,Martin Sheen,United States,,2314561.0,Gaylord Productions,99.0,
Hanna K.,R,Drama,1983,"September 7, 1983 (France)",6.3,661.0,Costa-Gavras,Franco Solinas,Jill Clayburgh,Israel,,,K.G. Productions,111.0,
Slayground,R,Crime,1983,February 1984 (United States),4.9,360.0,Terry Bedford,Trevor Preston,Peter Coyote,United Kingdom,,108128.0,Jennie and Company,89.0,
White Star,,Drama,1983,"March 8, 1985 (West Germany)",6.0,235.0,Roland Klick,Karen Jaehne-Lathan,Dennis Hopper,West Germany,100000.0,,,92.0,
Richard Pryor... Here and Now,R,Comedy,1983,"October 28, 1983 (United States)",7.3,2200.0,Richard Pryor,Paul Mooney,Richard Pryor,United States,,16156776.0,Columbia Pictures,83.0,
Deadly Force,R,Action,1983,"July 15, 1983 (United States)",4.9,300.0,Paul Aaron,Ken Barnett,Wings Hauser,United States,3000000.0,,Force Productions,95.0,
My Brother's Wedding,Not Rated,Drama,1983,March 1985 (United States),7.2,826.0,Charles Burnett,Charles Burnett,Everett Silas,United States,50000.0,26177.0,Charles Burnett Productions,115.0,
Blue Skies Again,PG,Comedy,1983,"April 29, 1983 (United States)",5.4,169.0,Richard Michaels,Kevin Sellers,Harry Hamlin,United States,,,Lantana,96.0,
Last Plane Out,PG,Action,1983,"September 23, 1983 (United States)",4.5,131.0,David Nelson,Ernest Tidyman,Jan-Michael Vincent,United States,,,,92.0,
Cross Country,R,Thriller,1983,"November 18, 1983 (United States)",5.4,182.0,Paul Lynch,Herbert Kastle,Richard Beymer,Canada,2500000.0,,Filmline Productions,95.0,
A Polish Vampire in Burbank,Not Rated,Comedy,1983,"October 31, 1983 (United States)",5.0,275.0,Mark Pirro,Mark Pirro,Mark Pirro,United States,3000.0,,Pirromount Pictures,80.0,
Forever Young,Not Rated,Drama,1983,"January 29, 1986 (United States)",6.7,51.0,David Drury,Ray Connolly,James Aubrey,United Kingdom,,,Channel Four Films,84.0,
The Golden Seal,PG,Drama,1983,"August 19, 1983 (United States)",5.3,313.0,Frank Zuniga,Donald G. Payne,Steve Railsback,United States,,6666725.0,The Samuel Goldwyn Company,94.0,
The Business of Show Business,,History,1983,"February 15, 1983 (Canada)",8.3,79.0,Tom Logan,Tom Logan,,Canada,323562.0,,CTV,55.0,
The Terminator,R,Action,1984,"October 26, 1984 (United States)",8.0,812000.0,James Cameron,James Cameron,Arnold Schwarzenegger,United Kingdom,6400000.0,78371200.0,Cinema '84,107.0,
Dune,PG-13,Action,1984,"December 14, 1984 (United States)",6.5,132000.0,David Lynch,Frank Herbert,Kyle MacLachlan,United States,40000000.0,30925690.0,Dino De Laurentiis Company,137.0,
Ghostbusters,PG,Action,1984,"June 8, 1984 (United States)",7.8,365000.0,Ivan Reitman,Dan Aykroyd,Bill Murray,United States,30000000.0,296187079.0,Columbia Pictures,105.0,
The Karate Kid,PG,Action,1984,"June 22, 1984 (United States)",7.3,205000.0,John G. Avildsen,Robert Mark Kamen,Ralph Macchio,United States,8000000.0,91119319.0,Columbia Pictures,126.0,
Once Upon a Time in America,R,Crime,1984,"June 1, 1984 (United States)",8.4,321000.0,Sergio Leone,Harry Grey,Robert De Niro,Italy,30000000.0,5473212.0,The Ladd Company,229.0,
Police Academy,R,Comedy,1984,"March 23, 1984 (United States)",6.7,118000.0,Hugh Wilson,Neal Israel,Steve Guttenberg,United States,4500000.0,81198894.0,The Ladd Company,96.0,
Indiana Jones and the Temple of Doom,PG,Action,1984,"May 23, 1984 (United States)",7.5,459000.0,Steven Spielberg,Willard Huyck,Harrison Ford,United States,28000000.0,333107271.0,Paramount Pictures,118.0,
Body Double,R,Crime,1984,"October 26, 1984 (United States)",6.8,30000.0,Brian De Palma,Robert J. Avrech,Craig Wasson,United States,10000000.0,8801940.0,Columbia Pictures,114.0,
A Nightmare on Elm Street,R,Horror,1984,"November 16, 1984 (United States)",7.5,212000.0,Wes Craven,Wes Craven,Heather Langenkamp,United States,1800000.0,25507137.0,New Line Cinema,91.0,
Amadeus,PG,Biography,1984,"September 19, 1984 (United States)",8.3,377000.0,Milos Forman,Peter Shaffer,F. Murray Abraham,United States,18000000.0,52066791.0,AMLF,160.0,
Beverly Hills Cop,R,Action,1984,"December 5, 1984 (United States)",7.3,171000.0,Martin Brest,Daniel Petrie Jr.,Eddie Murphy,United States,14000000.0,316360478.0,Paramount Pictures,105.0,
Red Dawn,PG-13,Action,1984,"August 10, 1984 (United States)",6.4,53000.0,John Milius,Kevin Reynolds,Patrick Swayze,United States,17000000.0,38376497.0,United Artists,114.0,
The NeverEnding Story,PG,Adventure,1984,"July 20, 1984 (United States)",7.4,135000.0,Wolfgang Petersen,Wolfgang Petersen,Noah Hathaway,West Germany,27000000.0,20251411.0,Constantin Film,102.0,
Footloose,PG,Drama,1984,"February 17, 1984 (United States)",6.6,73000.0,Herbert Ross,Dean Pitchford,Kevin Bacon,United States,8200000.0,80039064.0,Paramount Pictures,107.0,
Revenge of the Nerds,R,Comedy,1984,"August 10, 1984 (United States)",6.6,50000.0,Jeff Kanew,Tim Metcalfe,Robert Carradine,United States,8000000.0,40874452.0,Twentieth Century Fox,90.0,
Gremlins,PG,Comedy,1984,"June 8, 1984 (United States)",7.3,204000.0,Joe Dante,Chris Columbus,Zach Galligan,United States,11000000.0,153633143.0,Warner Bros.,106.0,
Romancing the Stone,PG,Action,1984,"March 30, 1984 (United States)",6.9,86000.0,Robert Zemeckis,Diane Thomas,Michael Douglas,Mexico,10000000.0,86572238.0,Twentieth Century Fox,106.0,
Streets of Fire,PG,Action,1984,"June 1, 1984 (United States)",6.7,19000.0,Walter Hill,Walter Hill,Michael Paré,United States,14500000.0,8089290.0,Universal Pictures,93.0,
Sixteen Candles,PG,Comedy,1984,"May 4, 1984 (United States)",7.0,108000.0,John Hughes,John Hughes,Molly Ringwald,United States,6500000.0,23686027.0,Universal Pictures,93.0,
"Paris, Texas",R,Drama,1984,"August 23, 1984 (United Kingdom)",8.1,96000.0,Wim Wenders,L.M. Kit Carson,Harry Dean Stanton,West Germany,,2207548.0,Road Movies Filmproduktion,145.0,
This Is Spinal Tap,R,Comedy,1984,"March 2, 1984 (United States)",7.9,132000.0,Rob Reiner,Christopher Guest,Rob Reiner,United States,2500000.0,4736202.0,Spinal Tap Prod.,82.0,
1984,R,Drama,1984,"March 22, 1985 (United States)",7.1,68000.0,Michael Radford,Michael Radford,John Hurt,United Kingdom,,8430492.0,Virgin,113.0,
Top Secret!,PG,Comedy,1984,"June 8, 1984 (United States)",7.2,62000.0,Jim Abrahams,Jim Abrahams,Val Kilmer,United Kingdom,9000000.0,20458340.0,Kingsmere Properties,90.0,
Conan the Destroyer,PG,Action,1984,"June 29, 1984 (United States)",5.9,77000.0,Richard Fleischer,Robert E. Howard,Arnold Schwarzenegger,United States,18000000.0,31042035.0,Dino De Laurentiis Company,103.0,
Children of the Corn,R,Horror,1984,"March 9, 1984 (United States)",5.6,49000.0,Fritz Kiersch,Stephen King,Peter Horton,United States,800000.0,14568989.0,Hal Roach Studios,92.0,
The Last Starfighter,PG,Action,1984,"July 13, 1984 (United States)",6.8,39000.0,Nick Castle,Jonathan R. Betuel,Lance Guest,United States,15000000.0,28733290.0,Lorimar Film Entertainment,101.0,
Splash,PG,Comedy,1984,"March 9, 1984 (United States)",6.3,71000.0,Ron Howard,Brian Grazer,Tom Hanks,United States,8000000.0,69821334.0,Touchstone Pictures,111.0,
Blood Simple,R,Crime,1984,"January 18, 1985 (United States)",7.6,91000.0,Joel Coen,Joel Coen,John Getz,United States,1500000.0,4228292.0,River Road Productions,99.0,
The Natural,PG,Drama,1984,"May 11, 1984 (United States)",7.5,46000.0,Barry Levinson,Bernard Malamud,Robert Redford,United States,28000000.0,47951979.0,TriStar Pictures,138.0,
Bachelor Party,R,Comedy,1984,"June 29, 1984 (United States)",6.3,36000.0,Neal Israel,Bob Israel,Tom Hanks,United States,5000000.0,38435947.0,Bachelor Party Productions,105.0,
Nausicaä of the Valley of the Wind,,Animation,1984,"November 25, 1987 (United States)",8.1,157000.0,Hayao Miyazaki,Hayao Miyazaki,Sumi Shimamoto,Japan,1000000.0,8736506.0,Nibariki,117.0,
Friday the 13th: the Final Chapter,R,Horror,1984,"April 13, 1984 (United States)",6.0,47000.0,Joseph Zito,Victor Miller,Erich Anderson,United States,2600000.0,32980880.0,Paramount Pictures,91.0,
Hardbodies,R,Comedy,1984,"May 4, 1984 (United States)",4.9,3200.0,Mark Griffiths,Steve Greene,Grant Cramer,United States,,7121719.0,Chroma III Productions,88.0,
Against All Odds,R,Action,1984,"March 2, 1984 (United States)",5.9,11000.0,Taylor Hackford,Eric Hughes,Rachel Ward,United States,13000000.0,21689062.0,Columbia Pictures,128.0,
Supergirl,PG,Action,1984,"November 21, 1984 (United States)",4.4,19000.0,Jeannot Szwarc,David Odell,Helen Slater,United Kingdom,35000000.0,14296438.0,Artistry Limited,124.0,
The Bounty,PG,Adventure,1984,"May 4, 1984 (United States)",7.0,25000.0,Roger Donaldson,Robert Bolt,Mel Gibson,United Kingdom,25000000.0,8613462.0,Dino De Laurentiis Company,132.0,
Firestarter,R,Action,1984,"May 11, 1984 (United States)",6.1,30000.0,Mark L. Lester,Stephen King,Drew Barrymore,United States,15000000.0,17080167.0,Dino De Laurentiis Company,114.0,
C.H.U.D.,R,Horror,1984,"August 31, 1984 (United States)",5.6,11000.0,Douglas Cheek,Parnell Hall,John Heard,United States,1250000.0,4654423.0,C.H.U.D. Productions,88.0,
The Woman in Red,PG-13,Comedy,1984,"August 15, 1984 (United States)",6.0,15000.0,Gene Wilder,Jean-Loup Dabadie,Gene Wilder,United States,9000000.0,25348610.0,Orion Pictures,87.0,
Runaway,PG-13,Action,1984,"December 14, 1984 (United States)",5.9,12000.0,Michael Crichton,Michael Crichton,Tom Selleck,United States,,6770587.0,TriStar Pictures,99.0,
The Adventures of Buckaroo Banzai Across the 8th Dimension,PG,Adventure,1984,"October 5, 1984 (Canada)",6.4,25000.0,W.D. Richter,Earl Mac Rauch,Peter Weller,United States,,6254148.0,Sherwood Productions,103.0,
Star Trek III: The Search for Spock,PG,Action,1984,"June 1, 1984 (United States)",6.7,76000.0,Leonard Nimoy,Gene Roddenberry,William Shatner,United States,17000000.0,76471046.0,Paramount Pictures,105.0,
Repo Man,R,Action,1984,"March 2, 1984 (United States)",6.9,35000.0,Alex Cox,Alex Cox,Harry Dean Stanton,United States,1500000.0,129000.0,Edge City Productions,92.0,
2010: the Year We Make Contact,PG,Adventure,1984,"December 7, 1984 (United States)",6.8,50000.0,Peter Hyams,Arthur C. Clarke,Roy Scheider,United States,28000000.0,40400657.0,Metro-Goldwyn-Mayer (MGM),116.0,
The Killing Fields,R,Biography,1984,"February 1, 1985 (United States)",7.8,53000.0,Roland Joffé,Bruce Robinson,Sam Waterston,United Kingdom,14400000.0,34700291.0,Goldcrest Films International,141.0,
The Cotton Club,R,Crime,1984,"December 14, 1984 (United States)",6.5,17000.0,Francis Ford Coppola,William Kennedy,Richard Gere,United States,58000000.0,25928721.0,Zoetrope Studios,127.0,
Starman,PG,Romance,1984,"December 14, 1984 (United States)",7.0,44000.0,John Carpenter,Bruce A. Evans,Jeff Bridges,United States,22000000.0,28744356.0,Columbia Pictures,115.0,
Night of the Comet,PG-13,Comedy,1984,"November 16, 1984 (United States)",6.4,19000.0,Thom Eberhardt,Thom Eberhardt,Catherine Mary Stewart,United States,700000.0,14418922.0,Atlantic Entertainment Group,95.0,
Blame It on Rio,R,Comedy,1984,"February 17, 1984 (United States)",5.8,10000.0,Stanley Donen,Charlie Peters,Michael Caine,United States,,18644570.0,Sherwood Productions,100.0,
Dreamscape,PG-13,Action,1984,"August 17, 1984 (United States)",6.3,14000.0,Joseph Ruben,David Loughery,Dennis Quaid,United States,,12145169.0,Zupnik-Curtis Enterprises,99.0,
Crimes of Passion,R,Drama,1984,"October 19, 1984 (United States)",6.4,6600.0,Ken Russell,Barry Sandler,Kathleen Turner,United States,,2912945.0,New World Pictures,107.0,
The Philadelphia Experiment,PG,Adventure,1984,"August 3, 1984 (United States)",6.1,15000.0,Stewart Raffill,Michael Janover,Michael Paré,United States,21000000.0,8103330.0,New World Pictures,102.0,
Places in the Heart,PG,Drama,1984,"October 5, 1984 (United States)",7.4,11000.0,Robert Benton,Robert Benton,Sally Field,United States,,34901614.0,Delphi II Productions,111.0,
Bolero,R,Comedy,1984,"August 31, 1984 (United States)",3.0,5100.0,John Derek,John Derek,Bo Derek,United States,7000000.0,8914881.0,City Films,105.0,
Cannonball Run II,PG,Action,1984,"June 29, 1984 (United States)",5.1,15000.0,Hal Needham,Brock Yates,Burt Reynolds,Hong Kong,20000000.0,28078073.0,Arcafin B.V.,108.0,
Stranger Than Paradise,R,Comedy,1984,"October 4, 1984 (United Kingdom)",7.5,36000.0,Jim Jarmusch,Jim Jarmusch,John Lurie,United States,90000.0,2436000.0,Cinesthesia Productions,89.0,
The Ice Pirates,PG,Action,1984,"March 16, 1984 (United States)",5.7,10000.0,Stewart Raffill,Stewart Raffill,Robert Urich,United States,9000000.0,14255801.0,Metro-Goldwyn-Mayer (MGM),91.0,
A Passage to India,PG,Adventure,1984,"February 1, 1985 (United States)",7.3,18000.0,David Lean,E.M. Forster,Judy Davis,United Kingdom,16000000.0,27201487.0,EMI Films,164.0,
Purple Rain,R,Drama,1984,"July 27, 1984 (United States)",6.5,20000.0,Albert Magnoli,Albert Magnoli,Prince,United States,7200000.0,70263155.0,Warner Bros.,111.0,
The Hotel New Hampshire,R,Comedy,1984,"March 9, 1984 (United States)",6.0,8000.0,Tony Richardson,John Irving,Rob Lowe,United Kingdom,7500000.0,5142858.0,Filmline Productions,109.0,
The Hit,R,Crime,1984,"March 8, 1985 (United States)",7.1,7700.0,Stephen Frears,Peter Prince,Freddie Stuart,United Kingdom,,876775.0,Zenith Entertainment,98.0,
Sheena,PG,Adventure,1984,"August 17, 1984 (United States)",4.9,4600.0,John Guillermin,David Newman,Tanya Roberts,United Kingdom,25000000.0,5778353.0,Colgems Productions Ltd.,117.0,
Missing in Action,R,Action,1984,"November 16, 1984 (United States)",5.5,14000.0,Joseph Zito,Arthur Silver,Chuck Norris,United States,2550000.0,22812411.0,The Cannon Group,101.0,
"Greystoke: The Legend of Tarzan, Lord of the Apes",PG,Adventure,1984,"March 30, 1984 (United States)",6.4,18000.0,Hugh Hudson,Edgar Rice Burroughs,Christopher Lambert,United Kingdom,30000000.0,45858563.0,Warner Bros.,143.0,
The Muppets Take Manhattan,G,Adventure,1984,"July 13, 1984 (United States)",6.9,20000.0,Frank Oz,Tom Patchett,Jim Henson,United States,,25534703.0,Henson Associates (HA),94.0,
The Wild Life,R,Comedy,1984,"September 28, 1984 (United States)",6.1,2500.0,Art Linson,Cameron Crowe,Chris Penn,United States,,11020375.0,Universal Pictures,96.0,
Falling in Love,PG-13,Drama,1984,"November 21, 1984 (United States)",6.5,13000.0,Ulu Grosbard,Michael Cristofer,Robert De Niro,United States,12000000.0,11129057.0,Paramount Pictures,106.0,
Gwendoline,R,Action,1984,"January 25, 1985 (United States)",5.3,2700.0,Just Jaeckin,Just Jaeckin,Tawny Kitaen,France,,1337274.0,Films de L'Alma,87.0,
Breakin',PG,Comedy,1984,"May 4, 1984 (United States)",5.8,6000.0,Joel Silberg,Charles Parker,Lucinda Dickey,United States,,38682707.0,Golan-Globus Productions,90.0,
Birdy,R,Drama,1984,"December 21, 1984 (United States)",7.3,22000.0,Alan Parker,William Wharton,Matthew Modine,United States,12000000.0,1455045.0,A&M Films,120.0,
The Company of Wolves,R,Drama,1984,"April 19, 1985 (United States)",6.7,15000.0,Neil Jordan,Angela Carter,Sarah Patterson,United Kingdom,2000000.0,4389334.0,Incorporated Television Company (ITC),95.0,
Ghoulies,PG-13,Comedy,1984,"January 18, 1985 (United States)",4.2,8400.0,Luca Bercovici,Luca Bercovici,Peter Liapis,United States,5500000.0,,Empire Pictures,81.0,
Electric Dreams,PG,Comedy,1984,"July 20, 1984 (United States)",6.5,7100.0,Steve Barron,Rusty Lemorande,Lenny von Dohlen,United States,,2193612.0,Virgin,95.0,
Cloak & Dagger,PG,Action,1984,"August 10, 1984 (United States)",6.6,7000.0,Richard Franklin,Tom Holland,Henry Thomas,United States,,,Universal Pictures,101.0,
Racing with the Moon,PG,Comedy,1984,"March 23, 1984 (United States)",6.7,4200.0,Richard Benjamin,Steve Kloves,Sean Penn,United States,6500000.0,6045647.0,Jaffe-Lansing,108.0,
"Silent Night, Deadly Night",R,Horror,1984,"November 9, 1984 (United States)",5.9,14000.0,Charles E. Sellier Jr.,Paul Caimi,Lilyan Chauvin,United States,1065000.0,2491460.0,TriStar Pictures,79.0,
The Pope of Greenwich Village,R,Action,1984,"June 22, 1984 (United States)",6.7,8000.0,Stuart Rosenberg,Vincent Patrick,Eric Roberts,United States,8000000.0,6836201.0,United Artists,121.0,
All of Me,PG,Comedy,1984,"September 21, 1984 (United States)",6.7,17000.0,Carl Reiner,Edwin Davis,Steve Martin,United States,,36403064.0,Kings Road Entertainment,93.0,
"Grandview, U.S.A.",R,Drama,1984,"August 3, 1984 (United States)",5.4,1800.0,Randal Kleiser,Ken Hixon,Jamie Lee Curtis,United States,,4743119.0,CBS Theatrical Films,97.0,
Where the Boys Are,R,Comedy,1984,"April 6, 1984 (United States)",4.1,983.0,Hy Averback,Stu Krieger,Lisa Hartman,United Kingdom,,10530000.0,Incorporated Television Company (ITC),94.0,
Reckless,R,Comedy,1984,"February 3, 1984 (United States)",6.3,1900.0,James Foley,Chris Columbus,Aidan Quinn,United States,,8289916.0,Edgar J. Scherick Associates,90.0,
Tightrope,R,Crime,1984,"August 17, 1984 (United States)",6.3,16000.0,Richard Tuggle,Richard Tuggle,Clint Eastwood,United States,,48143579.0,The Malpaso Company,114.0,
Rhinestone,PG,Comedy,1984,"June 22, 1984 (United States)",3.9,7000.0,Bob Clark,Phil Alden Robinson,Sylvester Stallone,United States,28000000.0,21435321.0,Twentieth Century Fox,111.0,
The Flamingo Kid,PG-13,Comedy,1984,"December 21, 1984 (United States)",6.2,5000.0,Garry Marshall,Neal Marshall,Matt Dillon,United States,,23859382.0,ABC Motion Pictures,100.0,
Up the Creek,R,Comedy,1984,"April 6, 1984 (United States)",5.6,3300.0,Robert Butler,Jim Kouf,Tim Matheson,United States,,11708269.0,Orion Pictures,96.0,
Swing Shift,PG,Drama,1984,"April 13, 1984 (United States)",5.9,4400.0,Jonathan Demme,Nancy Dowd,Goldie Hawn,United States,15000000.0,6650206.0,Warner Bros.,100.0,
Beat Street,PG,Drama,1984,"June 8, 1984 (United States)",6.5,3600.0,Stan Lathan,Steven Hager,Rae Dawn Chong,United States,9500000.0,16595791.0,Orion Pictures,105.0,
Joy of Sex,R,Comedy,1984,"August 3, 1984 (United States)",3.7,705.0,Martha Coolidge,Kathleen Rowell,Cameron Dye,United States,,4463841.0,Paramount Pictures,93.0,
Breakin' 2: Electric Boogaloo,PG,Comedy,1984,"December 21, 1984 (United States)",5.1,3900.0,Sam Firstenberg,Charles Parker,Lucinda Dickey,United States,,15101131.0,TriStar Pictures,94.0,
The Razor's Edge,PG-13,Drama,1984,"October 19, 1984 (United States)",6.6,5100.0,John Byrum,W. Somerset Maugham,Bill Murray,United Kingdom,13000000.0,6551987.0,Columbia Pictures,128.0,
Tank,PG,Action,1984,"March 16, 1984 (United States)",5.8,4100.0,Marvin J. Chomsky,Dan Gordon,James Garner,United States,,11302884.0,Lorimar Film Entertainment,113.0,
Moscow on the Hudson,R,Comedy,1984,"April 6, 1984 (United States)",6.5,11000.0,Paul Mazursky,Paul Mazursky,Robin Williams,United States,13000000.0,25068724.0,Bavaria Film,115.0,
Ninja III: The Domination,R,Action,1984,"September 14, 1984 (United States)",5.4,4200.0,Sam Firstenberg,James R. Silke,Shô Kosugi,United States,,7610785.0,Golan-Globus Productions,92.0,
The Warrior and the Sorceress,R,Adventure,1984,"September 7, 1984 (United States)",4.3,1700.0,John C. Broderick,John C. Broderick,David Carradine,United States,,2886225.0,Aries Cinematográfica Argentina,81.0,
The Evil That Men Do,R,Action,1984,"September 21, 1984 (United States)",6.0,3600.0,J. Lee Thompson,R. Lance Hill,Charles Bronson,Mexico,4600000.0,13102025.0,Capricorn,90.0,
Firstborn,R,Drama,1984,"October 26, 1984 (United States)",6.2,2300.0,Michael Apted,Ron Koslow,Teri Garr,United States,8000000.0,6250994.0,Paramount Pictures,103.0,
Cut and Run,R,Adventure,1984,"May 2, 1986 (United States)",5.7,2100.0,Ruggero Deodato,Cesare Frugoni,Lisa Blount,Italy,,,Racing Pictures,90.0,
Teachers,R,Comedy,1984,"October 5, 1984 (United States)",6.1,4000.0,Arthur Hiller,W.R. McKinney,Nick Nolte,United States,9000000.0,27774237.0,United Artists,107.0,
Repentance,PG,Drama,1984,"May 18, 1987 (Denmark)",8.3,4100.0,Tengiz Abuladze,Tengiz Abuladze,Avtandil Makharadze,Soviet Union,,,Georgian-Film,153.0,
The River,PG-13,Drama,1984,"January 11, 1985 (United States)",6.3,6500.0,Mark Rydell,Robert Dillon,Mel Gibson,United States,18000000.0,11489982.0,Universal Pictures,124.0,
Razorback,R,Horror,1984,"November 16, 1984 (United States)",6.0,6100.0,Russell Mulcahy,Everett De Roche,Gregory Harrison,Australia,,150463.0,UAA Films,95.0,
A Soldier's Story,PG,Crime,1984,"November 2, 1984 (United States)",7.2,9300.0,Norman Jewison,Charles Fuller,Howard E. Rollins Jr.,United States,6000000.0,21821347.0,Columbia Pictures,101.0,
Comfort and Joy,PG,Comedy,1984,"October 10, 1984 (United States)",6.7,1900.0,Bill Forsyth,Bill Forsyth,Bill Paterson,United Kingdom,,1057368.0,Lake (Comfort and Joy),106.0,
Meatballs Part II,PG,Comedy,1984,"July 27, 1984 (United States)",3.7,2300.0,Ken Wiederhorn,Martin Kitrosser,Richard Mulligan,United States,,5410972.0,TriStar Pictures,87.0,
Lassiter,R,Action,1984,"February 17, 1984 (United States)",5.9,2200.0,Roger Young,David Taylor,Tom Selleck,United States,,17513452.0,Golden Harvest Company,100.0,
Irreconcilable Differences,PG,Comedy,1984,"September 28, 1984 (United States)",5.8,2900.0,Charles Shyer,Nancy Meyers,Ryan O'Neal,United States,6000000.0,12414210.0,Hemdale,113.0,
City Heat,PG,Action,1984,"December 7, 1984 (United States)",5.5,9300.0,Richard Benjamin,Blake Edwards,Clint Eastwood,United States,25000000.0,38348988.0,Warner Bros.,93.0,
Under the Volcano,R,Drama,1984,"June 13, 1984 (United States)",7.0,5100.0,John Huston,Malcolm Lowry,Albert Finney,Mexico,,2556800.0,Conacite Uno,112.0,
Iceman,PG,Drama,1984,"April 13, 1984 (United States)",6.1,5300.0,Fred Schepisi,Chip Proser,Timothy Hutton,United States,,7343032.0,Universal Pictures,100.0,
Flashpoint,R,Action,1984,"August 31, 1984 (United States)",6.4,2300.0,William Tannen,George LaFountaine,Kris Kristofferson,United States,10000000.0,3854833.0,HBO Pictures,93.0,
The Little Drummer Girl,R,Drama,1984,"October 19, 1984 (United States)",6.1,2000.0,George Roy Hill,Loring Mandel,Diane Keaton,United States,,7828841.0,Bavaria Film,130.0,
Lust in the Dust,R,Comedy,1984,"March 1, 1985 (United States)",6.4,3000.0,Paul Bartel,Philip John Taylor,Tab Hunter,United States,3000000.0,727639.0,Fox Run Productions Inc.,84.0,
Hot Moves,R,Comedy,1984,"October 4, 1984 (United States)",4.8,619.0,Jim Sotos,Larry Anderson,Michael Zorek,United States,,2732684.0,Spectrum Cinema Productions,85.0,
Oxford Blues,PG-13,Comedy,1984,"August 24, 1984 (United States)",5.3,3000.0,Robert Boris,Robert Boris,Rob Lowe,United Kingdom,,8793152.0,Baltic Industrial Finance,97.0,
Thief of Hearts,Not Rated,Crime,1984,"October 19, 1984 (United States)",5.8,1600.0,Douglas Day Stewart,Douglas Day Stewart,Steven Bauer,United States,9000000.0,10435015.0,Don Simpson/Jerry Bruckheimer Films,100.0,
The Brother from Another Planet,R,Comedy,1984,"September 14, 1984 (United States)",6.8,5700.0,John Sayles,John Sayles,Joe Morton,United States,350000.0,3677209.0,Anarchist's Convention Films,108.0,
No Small Affair,R,Comedy,1984,"November 9, 1984 (United States)",5.5,2000.0,Jerry Schatzberg,Craig Bolotin,Jon Cryer,United States,,4994094.0,Delphi II Productions,102.0,
Broadway Danny Rose,PG,Comedy,1984,"January 27, 1984 (United States)",7.4,24000.0,Woody Allen,Woody Allen,Woody Allen,United States,8000000.0,10600497.0,Orion Pictures,84.0,
